family,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,fpr_mean,fpr_std,tpr_mean,tpr_std,query_time_mean,query_time_std,total_runs
matsnu,0.896,0.028936712552280943,0.9012145764592344,0.026318329667259444,0.8626633827633222,0.04234291204150828,0.9453333333333336,0.03263263533472111,0.15333333333333332,0.054731668671396776,0.9453333333333336,0.03263263533472111,0.0004296905199686179,0.00011270697162795778,30
suppobox,0.923,0.02734349404642109,0.9290573772579832,0.02360446094099078,0.8689348969332864,0.0412605556419191,0.9993333333333333,0.003590109871423007,0.15333333333333332,0.054731668671396776,0.9993333333333333,0.003590109871423007,0.00042652837435399254,8.317631007787235e-05,30
charbot,0.8026666666666669,0.03714236873915764,0.7933516585139908,0.039361856370627224,0.8344522934319196,0.05095314465492953,0.7586666666666667,0.050841802573166985,0.15333333333333332,0.054731668671396776,0.7586666666666667,0.050841802573166985,0.00042690523465469524,7.465126319897339e-05,30
gozi,0.8073333333333335,0.060107311442859336,0.7961828637832881,0.07081406745939033,0.8344931689789863,0.05483777161800059,0.7680000000000001,0.11034491379306977,0.15333333333333332,0.054731668671396776,0.7680000000000001,0.11034491379306977,0.0005204877058664466,0.00015734256382006316,30
manuelita,0.497,0.037607623340665045,0.2256093531441893,0.05959875506309909,0.49632620532775323,0.13409418580178542,0.14733333333333334,0.041144730997891926,0.15333333333333332,0.054731668671396776,0.14733333333333334,0.041144730997891926,0.0004948747158050029,0.00011709377835622616,30
rovnix,0.9180000000000003,0.02982169232846004,0.9240189896091265,0.02621007286048458,0.8676769968926151,0.04198063859164346,0.9893333333333333,0.014360439485692024,0.15333333333333332,0.054731668671396776,0.9893333333333333,0.014360439485692024,0.00044031794865920985,0.00010134072571669005,30
deception,0.9186666666666669,0.027896634603876893,0.9246956593647117,0.024190392183804338,0.8679603798725936,0.041656400896187794,0.9906666666666666,0.012364824660660946,0.15333333333333332,0.054731668671396776,0.9906666666666666,0.012364824660660946,0.0004220012029011535,6.723023364389064e-05,30
nymaim,0.8233333333333334,0.043076159944400276,0.8186536978272135,0.04603828719422786,0.8409462020681758,0.05093607729277015,0.8,0.06022181221672647,0.15333333333333332,0.054731668671396776,0.8,0.06022181221672647,0.0004289651711781317,7.038169936271355e-05,30
bigviktor,0.6006666666666668,0.04106363625182531,0.47317558101792234,0.06124004328244103,0.6971253424333107,0.08605099436814054,0.3606666666666667,0.05691709370264399,0.15933333333333335,0.05378558253741321,0.3606666666666667,0.05691709370264399,0.0004264320532480389,0.00011506761194270692,30
pizd,0.9076666666666667,0.028009918878060952,0.9139547952042812,0.02453099785086093,0.8614482745843103,0.041112338995444885,0.9746666666666669,0.019275776393067965,0.15933333333333335,0.05378558253741321,0.9746666666666669,0.019275776393067965,0.0004917920430500792,0.00014217792215715874,30
ngioweb,0.6563333333333333,0.051864138755877254,0.5770157314189787,0.07220310660587194,0.7478292285210534,0.08029606139942833,0.47199999999999986,0.07110555533852472,0.15933333333333335,0.05378558253741321,0.47199999999999986,0.07110555533852472,0.0005854763189951082,0.00028968412553262,30
