family,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,fpr_mean,fpr_std,tpr_mean,tpr_std,query_time_mean,query_time_std,total_runs
matsnu,0.7593333333333334,0.0320347034046239,0.704329239184056,0.04958554163826666,0.9051435780055515,0.00915814846654579,0.5786666666666668,0.06406940680924779,0.06000000000000001,1.3877787807814457e-17,0.5786666666666668,0.06406940680924779,0.04592115259170528,0.0028787276383005268,30
suppobox,0.5163333333333333,0.027262102307456463,0.15671390274394378,0.08627434180294606,0.5424170274170274,0.20171350327664797,0.09266666666666669,0.054524204614912905,0.06000000000000001,1.3877787807814457e-17,0.09266666666666669,0.054524204614912905,0.046145985364913905,0.0031130400737034596,30
charbot,0.47066666666666684,0.002494438257849296,0.0024691358024691358,0.009238660214256643,0.016666666666666666,0.06236095644623236,0.0013333333333333333,0.004988876515698589,0.06000000000000001,1.3877787807814457e-17,0.0013333333333333333,0.004988876515698589,0.04602238154411311,0.0030602426108321925,30
gozi,0.4700000000000001,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.06000000000000001,1.3877787807814457e-17,0.0,0.0,0.04622525540987646,0.0043158339127854,30
manuelita,0.48166666666666674,0.00734090518184842,0.04271845438512105,0.02645469389454807,0.2566666666666667,0.1358512258154322,0.023333333333333338,0.014681810363696828,0.06000000000000001,1.3877787807814457e-17,0.023333333333333338,0.014681810363696828,0.04633076508839921,0.0033651645976902804,30
rovnix,0.4700000000000001,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.06000000000000001,1.3877787807814457e-17,0.0,0.0,0.04658700585365292,0.003920446431219269,30
deception,0.9176666666666667,0.019610088106776957,0.915349611626161,0.02175565516234807,0.937088610941251,0.0025866196703766284,0.8953333333333334,0.03922017621355395,0.06000000000000001,1.3877787807814457e-17,0.8953333333333334,0.03922017621355395,0.04746413064002986,0.006694763373597932,30
nymaim,0.5486666666666669,0.025263060428661877,0.2554343715500502,0.07372157981090123,0.7037856587856588,0.09392111267658004,0.15733333333333335,0.050526120857323775,0.06000000000000001,1.3877787807814457e-17,0.15733333333333335,0.050526120857323775,0.04664240519205725,0.004549550675323034,30
bigviktor,0.4963333333333333,0.01425560318689541,0.04207260628274317,0.040731375289114115,0.3483333333333334,0.2996402163583174,0.02266666666666667,0.022350739485653616,0.030000000000000006,0.02175622516277429,0.02266666666666667,0.022350739485653616,0.05216329630215959,0.011739806176297461,30
pizd,0.49033333333333334,0.014019827229875402,0.020304133186116166,0.025281460799525715,0.26611111111111113,0.34092693181898404,0.010666666666666666,0.01339983416149452,0.030000000000000006,0.02175622516277429,0.010666666666666666,0.01339983416149452,0.05234355862935379,0.009651963033772191,30
ngioweb,0.485,0.01087811258138715,0.0,0.0,0.0,0.0,0.0,0.0,0.030000000000000006,0.02175622516277429,0.0,0.0,0.04786720879872635,0.0065310312275765805,30
